"","RecordNo","DateEntered","Habitat","HostSpecies","HostOrder","HostFamily","Synonyms","Food","genYr","CommonName","ProvinceI","InsectStatus","ModificationDate","InCanada","ChangeSpeciesTo","CommonNameOther","Complete","AdditionalReferences"
"2974",3199,"12/23/1996","","Thriptera crinita","Coleoptera","Tenebrionidae","","","","","not in Canada","","4/3/2001","N 43","Verified, TAFD 2001.",";","",""
"2975",3200,"12/23/1996","","Elenophorus collaris","Coleoptera","Tenebrionidae","Helenophorus collaris","","","","not in Canada","","4/3/2001","N 43","Verified, TAFD 2001.",";","",""
"2976",3201,"12/23/1996","","Scleron latipes","Coleoptera","Tenebrionidae","","","","","not in Canada","","4/3/2001","N 43","Verified, TAFD 2001.",";","",""
"2977",3202,"12/23/2096","","Helops striatus","Coleoptera","Tenebrionidae","","","","","not in Canada","","2/12/2099","N 43","",";","",""
"2978",3203,"12/23/2096","","Helops quisquilius","Coleoptera","Tenebrionidae","","","","","not in Canada","","2/12/2099","N 43","",";","",""
"2979",3204,"12/23/1996","","Hegeter amaroides","Coleoptera","Tenebrionidae","","","","","not in Canada","","4/3/2001","N 43","Verified, TAFD 2001.",";","",""
"2980",3205,"12/23/1996","","Hegeter tristis","Coleoptera","Tenebrionidae","","","","","not in Canada","","4/3/2001","N 43","Verified, TAFD 2001.",";","",""
"2981",3206,"12/23/1996","","Akis acuminata","Coleoptera","Tenebrionidae","","","","","not in Canada","","3/29/2001","n 43","Verified, TAFD 2001.",";","",""
"2982",3207,"12/23/1996","","Akis elegans","Coleoptera","Tenebrionidae","","","","","not in Canada","","3/29/2001","n 43","Verified, TAFD 2001.",";","",""
"2983",3208,"12/23/1996","","Akis bacarozzo","Coleoptera","Tenebrionidae","Akis elevata","","","","not in Canada","","3/29/2001","n 43","Verified, TAFD 2001.",";","",""
"2984",3209,"12/23/2096","","Akis punctata","Coleoptera","Tenebrionidae","","","","","not in Canada","","6/14/2099","n 43","",";","",""
"2985",3210,"12/23/1996","","Cyphogenia lucifuga","Coleoptera","Tenebrionidae","","","","","not in Canada","","3/29/2001","n 43","Verified, TAFD 2001.",";","",""
"2986",3213,"12/23/1996","","Pimelia boyeri atlantis","Coleoptera","Tenebrionidae","Pimelia atlantis","","","","not in Canada","","4/3/2001","n 43","Verified, TAFD 2001.",";","",""
"2987",3214,"12/23/1996","","Pimelia brisouti","Coleoptera","Tenebrionidae","","","","","not in Canada","","4/3/2001","n 43","Verified, TAFD 2001.",";","",""
"2988",3215,"12/23/2096","forest","Megalodacne abnormalis","Coleoptera","Erotylidae","","fungi","","","not in Canada","Wildlife","7/6/2099","N 43","","","",""
"2989",3216,"12/23/2096","","Dromius quadrinotatus","Coleoptera","Carabidae","","","","","not in Canada","","2/12/2099","n 43","","","",""
"2990",3219,"12/23/2096","","Setenis subfoveata","Coleoptera","Tenebrionidae","","","","","not in Canada","","10/1/2099","N 43","",";","",""
"2991",3220,"12/23/2096","","Campodea augens","Diplura","Campodeidae","","","","","","","5/3/2099","","","","",""
"2992",3221,"12/23/2096","","Campodea monspessulana","Diplura","Campodeidae","","","","","","","5/3/2099","","","","",""
"2993",3222,"12/23/2096","","Ctenolepisma nigrum","Thysanura","Lepismatidae","","","","","","","2/12/2099","","","","",""
"2994",3223,"12/23/1996","","Peliolepisma calvum","Thysanura","Lepismatidae","","","","","","","3/29/2001","","","","",""
"2995",3224,"12/23/2096","","Ctenolepisma lineata","Thysanura","Lepismatidae","","","","","","","2/12/2099","","","","",""
"2996",3225,"12/23/2096","","Campodea staphylinus","Diplura","Campodeidae","","","","","","","12/31/2099","","","","",""
"2997",3226,"12/23/2096","","Plusiocampa bureschi","Diplura","Campodeidae","","","","","","","2/24/2000","","Genus in ZR, but not this species.  No family given.","","",""
"2998",3227,"12/23/2096","","Ctenolepisma nigra","Thysanura","Lepismatidae","","","","","","","2/12/2099","","","","",""
"2999",3228,"12/23/2096","","Ctenolepisma rhombocephala","Thysanura","Lepismatidae","","","","","","","2/12/2099","","","","",""
"3000",3229,"12/23/1996","","Thermobia domestica","Thysanura","Lepismatidae","","","","firebrat","","","3/15/2001","","Verified, Pittaway 1991. Verified, Bosik 1997.","","",""
"3001",3231,"12/23/2096","","Acanthaclisis occitanica","Neuroptera","Myrmeleonidae","","","","","","","6/2/2099","","","","",""
"3002",3232,"12/23/2096","","Ablattaria laevigata","Coleoptera","Silphidae","","","","","not in Canada","","2/3/2000","N 43","",";","",""
"3003",3233,"12/23/2096","","Carabus cancellatus","Coleoptera","Carabidae","","","","","not in Canada","","2/3/2000","n 43","Verified, Bousquet & Larochelle 1993",";","",""
"3004",3234,"12/23/2096","","Carabus clathratus","Coleoptera","Carabidae","","","","","not in Canada","","2/12/2099","n 43","",";","",""
"3005",3235,"12/23/2096","","Carabus nemoralis","Coleoptera","Carabidae","","","","","NF, NS, PE, NB, QC, ON, SK, AB, BC,","Wildlife","2/3/2000","y 43","Verified, Bousquet & Larochelle 1993",";","",""
"3006",3236,"12/23/2096","","Pterostichus vulgaris","Coleoptera","Carabidae","","","","","not in Canada","","2/12/2099","N 43","","","",""
"3007",3237,"12/29/2096","","Ludius ferrugineus","Coleoptera","Elateridae","","","","","not in Canada","","2/12/2099","N 43","",";","",""
"3008",3239,"12/29/2096","","Cataloipus cognatus","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"3009",3242,"12/29/2096","","Acrida sulphuripennis","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"3010",3243,"12/29/1996","","Megacantha dentata","Coleoptera","Tenebrionidae","","","","","not in Canada","","4/3/2001","N 43","Verified, TAFD 2001.",";","",""
"3011",3244,"12/29/2096","","Ischnura delicata","Odonata","Coenagrionidae","","","","","","","3/17/2099","","","","",""
"3012",3245,"12/29/2096","","Pterostichus niger","Coleoptera","Carabidae","","","","","not in Canada","","8/29/2000","N 43","Verified, Pittaway 1991.","","",""
"3013",3246,"12/29/2096","","Pterostichus gracilis","Coleoptera","Carabidae","","","","","not in Canada","","2/12/2099","N 43","","","",""
"3014",3247,"12/29/2096","","Pterostichus diligens","Coleoptera","Carabidae","","","","","not in Canada","","2/5/2000","N 43","Could be P. diligendus Chaudoir 1868?","","",""
"3015",3248,"12/29/1996","crop","Harpalus rufipes","Coleoptera","Carabidae","","strawberries, raspberries","<1","strawberry seed beetle","NF, NS, PE, NB, QC","Pest","3/25/2001","y 43","Verified, Bousquet & Larochelle 1993.  Verified, ITIS Ca 2001.","66","y","66"
"3016",3249,"12/29/2096","aquatic","Dytiscus marginalis","Coleoptera","Dytiscidae","","predators of invertebrates","","","not in Canada","Wildlife","12/31/2099","n 43","","","",""
"3017",3250,"12/29/2096","aquatic","Acilius sulcatus","Coleoptera","Dytiscidae","","predators of invertebrates","","","not in Canada","Wildlife","2/12/2099","n 43","","","",""
"3018",3251,"12/29/2096","","Dicaelus furvus furvus","Coleoptera","Carabidae","Dicaelus ovalis","","","","not in Canada","","2/5/2000","n 43","Verified, Bousquet & Larochelle 1993","","",""
"3019",3252,"12/29/2096","","Ceriagrion coromandelianum","Odonata","Coenagrionidae","","","","","not in Canada","","6/7/2000","n 43","",";","",""
"3020",3253,"12/29/2096","","Bradinopyga geminata","Odonata","Libellulidae","","","","","","","12/20/2000","","","","",""
"3021",3254,"12/29/2096","","Galerita bicolor","Coleoptera","Carabidae","","","","","not in Canada","","2/5/2000","n 43","Verified, Bousquet & Larochelle 1993","","",""
"3022",3255,"12/29/1996","","Harpalus pennsylvanicus","Coleoptera","Carabidae","Harpalus pennsylvanicus longior, Harpalus longior","","","","NS, PE, NB, QC, ON, MB, SK, BC","Wildlife","3/25/2001","y 43","Verified, Bousquet & Larochelle 1993. Verified, ITIS Ca 2001.","","",""
"3023",3256,"12/29/1996","crop","Harpalus caliginosus","Coleoptera","Carabidae","Carabus caliginosus","Leptinotarsa decemlineata","","","QC, ON, MB","Beneficial","3/25/2001","y 43","Verified, Bousquet & Larochelle 1993. Verified, ITIS Ca 2001.","","","66"
"3024",3257,"12/29/2096","","Monomma giganteum","Coleoptera","Monommidae","","","","","not in Canada","","2/12/2099","N 43","",";","",""
"3025",3258,"12/29/2096","","Monomma triplacinum","Coleoptera","Monommidae","","","","","not in Canada","","2/12/2099","N 43","",";","",""
"3026",3259,"12/29/2096","","Tefflus gracilentus","Coleoptera","Carabidae","","","","","not in Canada","","12/27/2099","N 43","",";","",""
"3027",3260,"12/29/2096","","Nyctobates barbata","Coleoptera","Tenebrionidae","","","","","not in Canada","","2/12/2099","n 43","",";","",""
"3028",3261,"12/29/2096","","Nyctobates pennsylvanica","Coleoptera","Tenebrionidae","","","","","not in Canada","","2/12/2099","n 43","",";","",""
"3029",3262,"12/29/2096","","Laemostenus algerinus","Coleoptera","Carabidae","","","","","not in Canada","","2/12/2099","N 43","","","",""
"3030",3263,"12/29/2096","","Notiodes biguttatus","Coleoptera","Curculionidae","Notiophilus biguttatus","","","","not in Canada","","2/3/2000","n 43","This record is screwy; Notiophilus biguttatus is a valid name in Carabidae and cant be a synonym of Notiodes biguttatus.","","",""
"3031",3264,"12/29/1996","aquatic","Parastenopsyche sauteri","Trichoptera","Stenopsychidae","","","","","not in Canada","Wildlife","4/10/2001","n 55","Verified, TWC db.","","",""
"3032",3266,"12/29/2096","","Licinus punctatulus","Coleoptera","Carabidae","","","","","not in Canada","","2/12/2099","N 43","",";","",""
"3033",3267,"12/29/2096","","Megabunus diademi","Opiliones","Phalangiidae","","","","","","","12/20/2000","","","","",""
"3034",3268,"12/29/2096","","Ceratophyllus fringillae","Siphonaptera","Ceratophyllidae","","","","","","","2/12/2099","","","","",""
"3035",3269,"12/29/1996","","Ceratophyllus gallinae","Siphonaptera","Ceratophyllidae","","","","European chicken flea","","","3/6/2001","","Verified, Pittaway 1991. Verified, Bosik 1997.","","",""
"3036",3270,"12/29/2096","","Carabus coriaceus","Coleoptera","Carabidae","","","","","not in Canada","","2/3/2000","n 43","Verified, Bousquet & Larochelle 1993",";","",""
"3037",3271,"12/29/2096","","Carabus catenulatus","Coleoptera","Carabidae","","","","","not in Canada","","2/12/2099","n 43","",";","",""
"3038",3272,"12/29/1996","","Carabus asperatus","Coleoptera","Carabidae","Cathoplius asperatus, Cathophilus asperatus","","","","not in Canada","","3/25/2001","n 43","",";","",""
"3039",3273,"12/29/2096","","Ceuthosphodrus oblongus","Coleoptera","Carabidae","","","","","not in Canada","","6/14/2099","n 43","",";","",""
"3040",3274,"12/29/2096","","Chrysocarabus punctatoauratus","Coleoptera","Carabidae","","","","","not in Canada","","6/14/2099","n 43","",";","",""
"3041",3275,"12/29/2096","","Aulacophora foveicollis","Coleoptera","Chrysomelidae","Rhaphidopalpa foveicollis","","","","not in Canada","","7/20/2099","n 43","",";","",""
"3042",3276,"12/29/2096","","Aulacophora africana","Coleoptera","Chrysomelidae","","","","","not in Canada","","2/12/2099","n 43","",";","",""
"3043",3278,"12/29/1996","aquatic","Agrypnia obsoleta","Trichoptera","Phryganeidae","Agryphia obsoleta","","","","not in Canada","Wildlife","4/10/2001","--","Verified, TWC db.","","",""
"3044",3279,"12/29/1996","aquatic","Mystacides longicornis","Trichoptera","Leptoceridae","Mystacides quadrifasciatus","","","","ON, QC, SK","Wildlife","4/10/2001","y 56, 55","Verified, TWC db.","","",""
"3045",3280,"12/29/1996","aquatic","Triaenodes bicolor","Trichoptera","Leptoceridae","","","","","not in Canada","Wildlife","4/10/2001","n 55","Verified, TWC db.","","",""
"3046",3281,"12/29/1996","aquatic","Oecetis furva","Trichoptera","Leptoceridae","","","","","not in Canada","Wildlife","4/10/2001","n 55","Verified, TWC db.","","",""
"3047",3282,"12/29/1996","aquatic","Brachycentrus maculatum","Trichoptera","Brachycentridae","Oligoplectrum maculatum","","","","not in Canada","Wildlife","4/10/2001","n 55","Verified, TWC db.","","",""
"3048",3283,"12/29/1996","aquatic","Ecnomus tenellus","Trichoptera","Psychomyidae","","","","","not in Canada","Wildlife","4/10/2001","n 55","Verified, TWC db.","","",""
"3049",3284,"12/29/1996","aquatic","Rhyacophila praemorsa","Trichoptera","Rhyacophilidae","","","","","not in Canada","Wildlife","4/10/2001","n 55","Verified, TWC db.","","",""
"3050",3285,"12/29/1996","aquatic","Rhyacophila evoluta","Trichoptera","Rhyacophilidae","","","","","not in Canada","Wildlife","4/10/2001","n 55","Verified, TWC db.","","",""
"3051",3286,"12/29/2096","","Caloglyphus moniezi","Acari","Acaridae","","","","","","","2/12/2099","","","","",""
"3052",3287,"12/29/1996","aquatic","Limnephilus sparsus","Trichoptera","Limnephilidae","","","","","not in Canada","Wildlife","4/10/2001","n 55","Verified, TWC db.","","",""
"3053",3289,"12/29/1996","aquatic","Molanna angustata","Trichoptera","Molannidae","","","","","not in Canada","Wildlife","4/10/2001","n 55","Verified, TWC db.","","",""
"3054",3290,"12/29/1996","aquatic","Molanna septentrionis","Trichoptera","Molannidae","","","","","not in Canada","Wildlife","4/10/2001","--","","","",""
"3055",3292,"12/29/2096","forest","Holostrophus orientalis","Coleoptera","Melandryidae","","","","","not in Canada","Wildlife","2/12/2099","N 43","",";","",""
"3056",3293,"12/29/1996","aquatic","Agrypnia pagetana","Trichoptera","Phryganeidae","","","","","not in Canada","Wildlife","4/10/2001","n 55","Verified, TWC db.","","",""
"3057",3294,"12/29/1996","aquatic","Athripsodes cinereus","Trichoptera","Leptoceridae","","","","","not in Canada","Wildlife","4/10/2001","n 55","Verified, TWC db.","","",""
"3058",3295,"12/29/1996","aquatic","Drusus discolor","Trichoptera","Limnephilidae","","","","","not in Canada","Wildlife","4/10/2001","n 55","Verified, TWC db.","","",""
"3059",3296,"1/9/1997","crop","Diabrotica undecimpunctata howardi","Coleoptera","Chrysomelidae","","Greenbeans, soybeans, can be found on more than 200 of the common weeds, grasses and cultivated crops.","=1, >1","spotted cucumber beetle","NS, NB, QC, ON, SK, AB","Pest","3/8/2001","Y 8, Y 43","Verified, Bosik 1997.","","y",""
"3060",3297,"1/6/1997","","Baicalina spinosa","Trichoptera","Limnephilidae","","","","","","","4/10/2001","","","","",""
"3061",3298,"1/6/1997","","Brachycentrus montanus","Trichoptera","Brachycentridae","","","","","","","4/10/2001","","Verified, TWC db.","","",""
"3062",3299,"1/6/1997","","Mesophylax aspersus","Trichoptera","Limnephilidae","","","","","","","4/10/2001","","Verified, TWC db.","","",""
"3063",3300,"1/6/2097","","Mesophylax quadrifasciatus","Trichoptera","Limnephilidae","","","","","","","12/20/2000","","","","",""
"3064",3301,"1/6/1997","","Isoperla oxylepis","Plecoptera","Perlodidae","","","","","","","4/10/2001","","","","",""
"3065",3302,"1/6/1997","","Dinarthrodes japonica","Trichoptera","Lepidostomatidae","","","","","","","4/10/2001","","Could this be Goerodes japonicus?  Only sp. in this fam. with the epithet japonic*","","",""
"3066",3303,"1/6/1997","","Nemotaulius punctatolineatus","Trichoptera","Limnephilidae","Glyphotaelius punctatolineatus","","","","","","4/10/2001","","Verified, TWC db.","","",""
"3067",3304,"1/6/1997","","Limnephilus igma","Trichoptera","Limnephilidae","","","","","","","4/10/2001","","could this be stigma","","",""
"3068",3305,"1/6/2097","","Grammotaulius atomarius","Trichoptera","Limnephilidae","","","","","","","6/3/2099","","","","",""
"3069",3306,"1/6/2097","","Nemoura cinerea","Plecoptera","Nemouridae","","","","","","","3/16/2000","","Verified, Baumann 1975.","","",""
"3070",3307,"1/6/1997","","Agrypnia varia","Trichoptera","Phryganeidae","Phryganea varia","","","","","","4/10/2001","","Verified, TWC db.","","",""
"3071",3308,"1/6/1997","","Oligotricha striata","Trichoptera","Phryganeidae","Phryganea striata","","","","","","4/10/2001","","Verified, TWC db.","","",""
"3072",3309,"1/6/1997","","Athripsodes aterrimus","Trichoptera","Leptoceridae","Leptocerus aterrimus","","","","","","4/10/2001","","Verified, ITIS Ca, 2001. Verified, TWC db.","","",""
"3073",3310,"1/6/2097","","Leptocerus aterrimus","Trichoptera","Leptoceridae","","","","","","","7/6/2099","","","","",""
"3074",3311,"1/6/1997","","Tachycines asynamorus","Orthoptera","Gryllacrididae","","","","greenhouse stone cricket","","","3/15/2001","","Verified, Bosik 1997.","","",""
"3075",3312,"1/6/2097","","Aeshna constricta","Odonata","Aeshnidae","","","","","","","12/29/2099","","","","",""
"3076",3313,"1/6/2097","","Aeshna cyanea","Odonata","Aeshnidae","","","","","","","2/12/2099","","","","",""
"3077",3314,"1/6/2097","","Libellula depressa ","Odonata","Libellulidae","","","","","","","2/12/2099","","","","",""
"3078",3315,"1/6/2097","","Hydrous piceus","Coleoptera","Hydrophilidae","","","","","","","2/3/2000","","These may be synonyms?  Hydrous piceus and Hydrophilus piceus.  Neither name in ITIS; most similar name is Hydaticus piceus in Dytiscidae.","","",""
"3079",3316,"1/6/2097","","Colymbetes fuscus","Coleoptera","Dytiscidae","","","","","","","5/4/2099","","","","",""
"3080",3317,"1/6/2097","","Dytiscus semisulcatus","Coleoptera","Dytiscidae","","","","","","","2/14/2099","","","","",""
"3081",3318,"1/6/2097","","Rhantus bistriatus","Coleoptera","Dytiscidae","Rhantus suturellus","","","","","","8/29/2000","","Verified, Pittaway 1991.","","",""
"3082",3319,"1/6/2097","","Rhantus punctatus","Coleoptera","Dytiscidae","","","","","","","6/2/2099","","","","",""
"3083",3323,"1/6/2097","","Dermestes atomarius","Coleoptera","Dermestidae","","","","","","","2/14/2099","","","","",""
"3084",3325,"1/6/2097","","Dermestes murinus","Coleoptera","Dermestidae","","","","","","","2/14/2099","","","","",""
"3085",3326,"1/6/2097","","Dermestes frischii","Coleoptera","Dermestidae","","","","","","","6/16/2000","","Verified, Pittaway 1991.","","",""
"3086",3327,"1/6/2097","","Attagenus pellio","Coleoptera","Dermestidae","","","","","","","2/14/2099","","","","",""
"3087",3328,"1/6/2097","","Dermestes tesselatocollis","Coleoptera","Dermestidae","","","","","","","6/16/2000","","Verified, Pittaway 1991.","","",""
"3088",3331,"1/6/2097","","Anthrenus fuscus","Coleoptera","Dermestidae","","","","","","","2/14/2099","","","","",""
"3089",3332,"1/6/1997","","Anthrenus scrophulariae","Coleoptera","Dermestidae","","","","carpet beetle","","","3/6/2001","","Verified, Bosik 1997.","","",""
"3090",3333,"1/6/1997","","Anthrenus verbasci","Coleoptera","Dermestidae","","","","varied carpet beetle","","","3/6/2001","","Verified, Bosik 1997.","","",""
"3091",3334,"1/7/2097","","Myelophilus piniperda","Coleoptera","Curculionidae","","","","","","","10/1/2099","","","","",""
"3092",3335,"1/7/2097","","Dermestes undulatus","Coleoptera","Dermestidae","","","","","","","2/14/2099","","","","",""
"3093",3337,"1/8/2097","","Alphitobius piceus","Coleoptera","Tenebrionidae","","","","","","","2/12/2099","","","","",""
"3094",3338,"1/8/2097","","Gymnopholus gressitti","Coleoptera","Curculionidae","","","","","","","6/14/2099","","","","",""
"3095",3339,"1/8/1997","","Anoplogenius microgonus","Coleoptera","Carabidae","","","","","","","4/10/2001",""," ","","",""
"3096",3340,"1/8/2097","","Harpalus pennsylvanicus longior","Coleoptera","Carabidae","","","","","","","2/5/2000","","Acc. to Bousquet & Larochelle 1993, H. longior s jr. syn. of H. pennsylvanicus.","","",""
"3097",3341,"1/8/1997","","Tribolium ferrugineum","Coleoptera","Tenebrionidae","","","","","","","4/3/2001","","Verified, TAFD 2001.","","",""
"3098",3342,"1/8/2097","","Amara angustata","Coleoptera","Carabidae","","","","","","","2/5/2000","","Verified, Bousquet & Larochelle 1993","","",""
"3099",3343,"1/8/1997","","Neatus picipes","Coleoptera","Tenebrionidae","","","","","","","4/3/2001","","Verified, TAFD 2001.","","",""
"3100",3344,"1/8/1997","","Cryphaeus taurus","Coleoptera","Tenebrionidae","","","","","","","3/29/2001","","Verified, TAFD 2001.","","",""
"3101",3345,"1/8/1997","","Cryphaeus gazella","Coleoptera","Tenebrionidae","","","","","","","3/29/2001","","","","",""
"3102",3346,"1/8/2097","","Apomecyna kivuensis","Coleoptera","Cerambycidae","","","","","","","2/14/2099","","","","",""
"3103",3347,"1/8/2097","","Ceratophyllus farreni","Siphonaptera","Ceratophyllidae","","","","","","","6/12/2000","","Verified, Pittaway 1991.","","",""
"3104",3348,"1/8/2097","","Ceratophyllus galligallinae","Siphonaptera","Ceratophyllidae","","","","","","","6/12/2000","","Spelling error?  Maybe sb gallinae?  rec from Levine (461).","","",""
"3105",3349,"1/8/2097","","Ceratophyllus styx","Siphonaptera","Ceratophyllidae","","","","","","","6/12/2000","","Verified, Pittaway 1991.","","",""
"3106",3350,"1/8/2097","","Trycherus imperator","Coleoptera","Endomychidae","","","","","","","12/20/2000","","","","",""
"3107",3351,"1/8/2097","","Trycherus appendiculatus","Coleoptera","Endomychidae","","","","","","","12/20/2000","","","","",""
"3108",3352,"1/8/2097","","Speculitermes sinhalensis","Isoptera","Termitidae","","","","","","","6/22/2000","","Verified, Bose 1984.","","",""
"3109",3353,"1/8/2097","","Potamophylax nigricornis","Trichoptera","Limnephilidae","","","","","","","12/20/2000","","","","",""
"3110",3354,"1/8/2097","","Agabus bipustulatus","Coleoptera","Dytiscidae","","","","","","","5/3/2099","","","","",""
"3111",3355,"1/8/2097","","Graphoderus cinereus","Coleoptera","Dytiscidae","Graphoderes","","","","","","12/7/2000","","","","",""
"3112",3356,"1/8/2097","","Graphoderus bilineatus","Coleoptera","Dytiscidae","Graphoderes","","","","","","12/7/2000","","","","",""
"3113",3357,"1/8/2097","","Graphoderus zonatus","Coleoptera","Dytiscidae","Graphoderes","","","","","","12/7/2000","","","","",""
"3114",3358,"1/8/2097","","Colymbetes paykulli","Coleoptera","Dytiscidae","","","","","","","12/31/2099","","","","",""
"3115",3359,"1/8/2097","","Dytiscus dimidiatus","Coleoptera","Dytiscidae","","","","","","","2/14/2099","","","","",""
"3116",3360,"1/8/2097","","Hydaticus seminiger","Coleoptera","Dytiscidae","","","","","","","6/14/2099","","","","",""
"3117",3361,"1/8/2097","","Hyphydrus ovatus","Coleoptera","Dytiscidae","","","","","","","6/14/2099","","","","",""
"3118",3362,"1/8/2097","","Ilybius ater","Coleoptera","Dytiscidae","","","","","","","2/14/2099","","","","",""
"3119",3363,"1/8/2097","","Rhantus exoletus","Coleoptera","Dytiscidae","","","","","","","6/2/2099","","","","",""
"3120",3364,"1/8/2097","","Rhantus notatus","Coleoptera","Dytiscidae","","","","","","","6/2/2099","","","","",""
"3121",3365,"1/8/2097","","Hydroporus palustris","Coleoptera","Dytiscidae","","","","","","","8/7/2000","","Verified, Pittaway 1991.","","",""
"3122",3366,"1/8/2097","","Xylotrupes dichotomus","Coleoptera","Scarabaeidae","","","","","","","2/3/2000","","","","",""
"3123",3367,"1/8/2097","","Lestes sponsa","Odonata","Lestidae","","","","","","","6/2/2099","","","","",""
"3124",3368,"1/8/2097","","Enallagma cyathigerum","Odonata","Coenagrionidae","","","","","","","1/1/2000","","","","",""
"3125",3369,"1/9/2097","","Bezzia solstitialis","Diptera","Ceratopogonidae","Ceratopogon solstitialis","","","","","","12/31/2099","","","","",""
"3126",3370,"1/9/2097","","Oxytelus piceus","Coleoptera","Staphylinidae","","","","","","","2/14/2099","","","","",""
"3127",3371,"1/9/1997","","Epomolytus sculptus","Coleoptera","Staphylinidae","Oxytelus sculptus","","","","","","4/12/2001","","Update record?  Oxytelus (subgenus Epomolytus) sculptus, in Staphylinidae (from online checklist of czeck and slovak beetles)","","",""
"3128",3372,"1/9/2097","","Dasyhelea lithotelmatica","Diptera","Ceratopogonidae","","","","","","","2/14/2099","","","","",""
"3129",3373,"1/9/1997","Animal burrow","Nosopsyllus fasciatus","Siphonaptera","Ceratophyllidae","Ceratophyllus fasciatus","Adult: blood feeder, rodents, rats, rabbits","","northern rat flea","","","5/24/2001","","Verified, Pittaway 1991.  Verified, Bosik 1997.","","",""
"3130",3375,"1/9/2097","","Mitopus morio","Opiliones","Phalangiidae","","","","","","","12/20/2000","","","","",""
"3131",3376,"1/9/2097","","Opilio parietinus","Opiliones","Phalangiidae","","","","","","","12/20/2000","","","","",""
"3132",3377,"1/9/2097","","Platybunus bucephalus","Opiliones","Phalangiidae","","","","","","","12/20/2000","","","","",""
"3133",3378,"1/9/2097","","Phalangium opilio","Opiliones","Phalangiidae","","","","","","","6/3/2099","","","","",""
"3134",3379,"1/9/2097","","Lacinius ephippiatus","Opiliones","Phalangiidae","","","","","","","12/20/2000","","","","",""
"3135",3380,"1/9/2097","","Platybunus triangularis","Opiliones","Phalangiidae","","","","","","","12/20/2000","","","","",""
"3136",3381,"1/9/2097","","Leiobunum rotundum","Opiliones","Phalangiidae","","","","","","","7/13/2099","","","","",""
"3137",3382,"1/9/2097","","Oligolophus tridens","Opiliones","Phalangiidae","","","","","","","12/20/2000","","","","",""
"3138",3383,"1/9/2097","","Phalangium crassum","Opiliones","Phalangiidae","","","","","","","6/3/2099","","","","",""
"3139",3384,"1/9/2097","","Phalangium cornutum","Opiliones","Phalangiidae","","","","","","","6/3/2099","","","","",""
"3140",3385,"1/9/2097","","Leiobunum hassiae","Opiliones","Phalangiidae","","","","","","","6/3/2099","","","","",""
"3141",3386,"1/9/2097","","Gargrellula caddlana","Opiliones","Phalangiidae","","","","","","","5/14/2099","","","","",""
"3142",3387,"1/9/2097","","Odiellus palpinalis","Opiliones","Phalangiidae","","","","","","","12/20/2000","","","","",""
"3143",3388,"1/9/2097","","Odius spinosus","Opiliones","Acanthonotozomatidae ","","","","","","","12/27/2099","","","","",""
"3144",3389,"1/9/2097","","Anoplogenius cyanescens","Coleoptera","Carabidae","","","","","","","6/14/2099","","","","",""
"3145",3392,"1/9/2097","","Euparius lunatus","Coleoptera","Anthribidae","","","","","","","5/14/2099","","","","",""
"3146",3393,"1/10/2097","","Agriocnemis pygmaea","Odonata","Coenagrionidae","","","","","","","12/20/2000","","","","",""
"3147",3394,"1/10/2097","","Crypturgus pusillus","Coleoptera","Scolytidae","","","","","","","6/14/2099","","","","",""
"3148",3395,"1/10/2097","","Psychoda severini","Diptera","Psychodidae","","","","","","","8/29/2000","","Verified, Pittaway 1991.","","",""
"3149",3396,"1/10/2097","","Ceriagrion cerinorubellum","Odonata","Coenagrionidae","","","","","","","6/7/2000","","","","",""
"3150",3397,"1/10/2097","","Copelatus ruficollis","Coleoptera","Dytiscidae","","","","","","","6/14/2099","","","","",""
"3151",3398,"1/10/2097","","Carabus auratus","Coleoptera","Carabidae","","","","","","","2/3/2000","","Verified, Bousquet & Larochelle 1993","","",""
"3152",3399,"1/10/2097","","Carabus violaceus","Coleoptera","Carabidae","","","","","","","2/5/2000","","Verified, Bousquet & Larochelle 1993","","",""
"3153",3400,"1/10/2097","","Carabus arcensis","Coleoptera","Carabidae","","","","","","","2/3/2000","","Verified, Bousquet & Larochelle 1993","","",""
"3154",3401,"1/10/2097","","Carabus auronitens","Coleoptera","Carabidae","","","","","","","2/14/2099","","","","",""
"3155",3402,"1/10/2097","","Carabus hortensis","Coleoptera","Carabidae","","","","","","","2/14/2099","","","","",""
"3156",3403,"1/10/2097","","Carabus intricatus","Coleoptera","Carabidae","","","","","","","2/14/2099","","","","",""
"3157",3404,"1/10/2097","","Carabus nitens","Coleoptera","Carabidae","","","","","","","2/14/2099","","","","",""
"3158",3405,"1/10/2097","","Carabus ullrichi","Coleoptera","Carabidae","","","","","","","2/14/2099","","","","",""
"3159",3406,"1/10/2097","","Oeceoptoma thoracica","Coleoptera","Silphidae","","","","","","","10/1/2099","","","","",""
"3160",3407,"1/10/2097","","Pristonychus algerinus","Coleoptera","Carabidae","","","","","","","2/5/2000","","","","",""
"3161",3408,"1/10/2097","","Hadrocarabus problematicus","Coleoptera","Carabidae","","","","","","","6/14/2099","","","","",""
