PathogenSpecies,Group,HighTaxon,LowTaxon,
Aeromonas punctata,Bacteria,Non-spore-forming bacteria,Vibrionaceae,
Amblyospora aegypti,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora auriferi,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora capillata,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora cataphyllus,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora cinerei,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora conopsa,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora excrucii,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora hybomitrae,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora mojingensis,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora pinensis,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora punctor,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora stictici,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora stimuli,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora tritaeniorhynchi,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora varians,Protozoa,Microspora,Microsporea (Microsporida),
Ameson hybomitrae,Protozoa,Microspora,Microsporea (Microsporida),
Ancaliia meligethi,Protozoa,Microspora,Microsporea (Microsporida),Spelling.  Ancaliia or Anncaliia?
Aurospora canningae,Protozoa,Microspora,Microsporea (Microsporida),
Bacillidium chironomi,Protozoa,Microspora,Microsporea (Microsporida),
Coccidiascus legeri,Fungi,Ascomycota,Saccharomycetales,
Coelomomyces dodgei,Fungi,Chytridiomycetes,Blastocladiales,
Cristulospora aedis,Protozoa,Microspora,Microsporea (Microsporida),
Cristulospora cadyrovi,Protozoa,Microspora,Microsporea (Microsporida),
Culicospora damnosi,Protozoa,Microspora,Microsporea (Microsporida),
Duboscqia aediphaga,Protozoa,Microspora,Microsporea (Microsporida),
Duboscqia philiae,Protozoa,Microspora,Microsporea (Microsporida),
Encephalitozoon flavescens,Protozoa,Microspora,Microsporea (Microsporida),
Gurleya francottei,Protozoa,Microspora,Microsporea (Microsporida),
Gurleya spraguei,Protozoa,Microspora,Microsporea (Microsporida),
Helmichia simuliae,Protozoa,Microspora,Microsporea (Microsporida),
Hirsutella nodulosa,Fungi,Deuteromycetes,unknown,
Issia globulifera,Protozoa,Microspora,Microsporea (Microsporida),
Janacekia adipophila,Protozoa,Microspora,Microsporea (Microsporida),
Leidyana berkeleyi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Malpighamoeba mellificae,Protozoa,Rhizopoda,Lobosea (Amoebida),"Genus not in Corliss, 1994.  Placement from Tanada & Kaya."
Microsporidium argyrogrammio,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium italicus,Protozoa,Microspora,Microsporea (Microsporida),
MIcrosporidium itiiti,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium lairdi,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium lotaensis,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium sitophili,Protozoa,Microspora,Microsporea (Microsporida),
Nectria aurantiicola,Fungi,Pyrenomycetes,Hypocreales,
Nosema adelae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema adiei,Protozoa,Microspora,Microsporea (Microsporida),
Nosema agnatae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema apterygotae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema birgii,Protozoa,Microspora,Microsporea (Microsporida),
Nosema blissi,Protozoa,Microspora,Microsporea (Microsporida),
Nosema calcarati,Protozoa,Microspora,Microsporea (Microsporida),
Nosema ctenocephali,Protozoa,Microspora,Microsporea (Microsporida),
Nosema dungeri,Protozoa,Microspora,Microsporea (Microsporida),
Nosema equestris,Protozoa,Microspora,Microsporea (Microsporida),
Nosema eurytremae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema euzeti,Protozoa,Microspora,Microsporea (Microsporida),
Nosema galerucellae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema galleriae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema gastroideae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema hylobii,Protozoa,Microspora,Microsporea (Microsporida),
Nosema infuscatellus,Protozoa,Microspora,Microsporea (Microsporida),
Nosema ixodis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema lepidocyrti,Protozoa,Microspora,Microsporea (Microsporida),
Nosema limbata,Protozoa,Microspora,Microsporea (Microsporida),
Nosema liturae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema longifilum,Protozoa,Microspora,Microsporea (Microsporida),
Nosema loxostegi,Protozoa,Microspora,Microsporea (Microsporida),
Nosema manierae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema maroccanus,Protozoa,Microspora,Microsporea (Microsporida),Spelling?  N. maroccanus or macroccanus?
Nosema marucae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema medinalis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema micratacci,Protozoa,Microspora,Microsporea (Microsporida),
Nosema onychiurus,Protozoa,Microspora,Microsporea (Microsporida),
Nosema orthocladii,Protozoa,Microspora,Microsporea (Microsporida),
Nosema otiorhynchi,Protozoa,Microspora,Microsporea (Microsporida),
Nosema pernyi,Protozoa,Microspora,Microsporea (Microsporida),
Nosema petrosa,Protozoa,Microspora,Microsporea (Microsporida),
Nosema porphyriniae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema ptyctimae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema pyrgomorphae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema pyrrhocoridis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema semiothisae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema steinhausi,Protozoa,Microspora,Microsporea (Microsporida),
Nosema tephrititae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema termitis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema wistmansi,Protozoa,Microspora,Microsporea (Microsporida),
Nosema yponomeutae,Protozoa,Microspora,Microsporea (Microsporida),
Octosporea adipovora,Protozoa,Microspora,Microsporea (Microsporida),
Octosporea antiquae,Protozoa,Microspora,Microsporea (Microsporida),
Octosporea deliae,Protozoa,Microspora,Microsporea (Microsporida),
Octosporea hybomitrae,Protozoa,Microspora,Microsporea (Microsporida),
Octosporea tabani,Protozoa,Microspora,Microsporea (Microsporida),
Octotetraspora cincta,Protozoa,Microspora,Microsporea (Microsporida),
Octotetraspora paradoxa,Protozoa,Microspora,Microsporea (Microsporida),
Ophryocystis hylobii,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Parathelohania arabiensis,Protozoa,Microspora,Microsporea (Microsporida),
Parathelohania chagrasensis,Protozoa,Microspora,Microsporea (Microsporida),
Parathelohania octolagenella,Protozoa,Microspora,Microsporea (Microsporida),Spelling?  P. octolagella?
Perezia dichroplusae,Protozoa,Microspora,Microsporea (Microsporida),
Plasmodium gallinaceum,Protozoa,Apicomplexa,Haematozoea (Haemospororida),
Pleistophora aidarlovica,Protozoa,Microspora,Microsporea (Microsporida),Spelling?  Plistophora?
Pleistophora carabidorum,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora eretesi,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora ganapatii,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora hybomitrae,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora malthodes,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora scatopsi,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora scolyti,Protozoa,Microspora,Microsporea (Microsporida),Spelling?  Plistophora?
Pleistophora syleptae,Protozoa,Microspora,Microsporea (Microsporida),Spelling?  Plistophora?
Pleistophora tenua,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora weiseri,Protozoa,Microspora,Microsporea (Microsporida),
Polydispyrenia norandina,Protozoa,Microspora,Microsporea (Microsporida),
Pulicispora xenopsyllae,Protozoa,Microspora,Microsporea (Microsporida),
Pyrotheca hydropsycheae,Protozoa,Microspora,Microsporea (Microsporida),
Pyxinia frenzeli,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stempellia captshagaica,Protozoa,Microspora,Microsporea (Microsporida),
Stempellia lunata,Protozoa,Microspora,Microsporea (Microsporida),
Stempellia rubtsovi,Protozoa,Microspora,Microsporea (Microsporida),
Tabanispora hybomitra,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania assovi,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania bomboschi,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania collembolae,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania culisetae,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania hybomitrae,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania hyphantriae,Protozoa,Microspora,Microsporea (Microsporida),"Ref 579 [Maddox, J.V., and Sprenkel, R.K., 1978.  Some enigmatic microsporidia of the genus Nosema. Misc. Publ. Entomol. Soc. Am. 11: 65-84] suggests this is a dimorphic species.  What is its current valid name? "
Thelohania legeri,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania limbata,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania mesnili,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania obesa,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania ostrinia,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania pyriformis,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania thomsoni,Protozoa,Microspora,Microsporea (Microsporida),
Toxoglugea tillargi,Protozoa,Microspora,Microsporea (Microsporida),
Triplosporium floridanum,Fungi,Zygomycetes,Entomophthorales,
Tuzetia baeticida,Protozoa,Microspora,Microsporea (Microsporida),
Tuzetia schneideri,Protozoa,Microspora,Microsporea (Microsporida),
Unikaryon nisotrae,Protozoa,Microspora,Microsporea (Microsporida),
Vairimorpha ephestiae,Protozoa,Microspora,Microsporea (Microsporida),
Vairimorpha hybomitrae,Protozoa,Microspora,Microsporea (Microsporida),
Vairimorpha invictae,Protozoa,Microspora,Microsporea (Microsporida),
Vavraia multispora,Protozoa,Microspora,Microsporea (Microsporida),
Menzbieria chalcographi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Mattesia bombi,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Mattesia orchopiae,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),"Update name to Coelogregarina orchopiae?  Mattesia orchopiae belongs in the genus Coelogregarina, acc. to  Canning (1964, J. Ins. Pathol. 6: 305-317, EDWIP ref 628). "
Mattesia oryzaephili,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Mattesia povolnyi,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Mattesia schwenkei,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Lipocystis polyspora,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Farinocystis tenebrioides,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Gregarina acridiorum,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Enterocystis ephemerae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Enterocystis fungoides,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Enterocystis grassei,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Enterocystis palmata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Enterocystis racovitza,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),"Spelling?  racovitza, as in Levine, or racovitzai, as in title of ref 1693 [Gaino, E. and  Rebora, M.  1998.  Contribution to the Study of Enterocystis racovitzai, a Gregarine Parasite of Baetis rhodani (Ephemeroptera: Baetidae).  Acta Protozoologica 7: 125 - 131. ]"
Enterocystis rhithrogenae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina crenata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina acrydiinarum,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina acuta,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina aethiopica,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina africana,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina alphitophagi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina amare,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina ambigua,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina ampullaria,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina anaboliae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina antherophagi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina anthici,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina arietuli,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina arthromacrae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina atomariae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina ausoniae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina bancoi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina bergi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina blaberae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina barbarara,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina blattarum ,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina boevi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina boletophagi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina brachypteri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina brosci,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina byrrhina,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina cetoniae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina cis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina cerylonis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina cuneata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina delmasi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina munieri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina indianensis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina intestinalis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina nigra,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina mystacidarum,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina rigida,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina polymorpha,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina straeleni,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina monarchia,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina cavalierina,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina californica,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina capritermitis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina ceropriae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina dorotheae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina eccrinifera,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina ernobii,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina haasi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina heteroceri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina hylastidis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina leucopaeae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina litargi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina nipti,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina oxytelopsis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina pediciae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina pharaxonothae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina philolonthi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina pityoktenidis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina pityogenidis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina pocadii,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina poecili,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina polyphagae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina raptoris,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina rivularis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina scaphosomatis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina signata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina spinata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina trogophloei,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina tuerkorum,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina vittata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina ceuthophili,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina hadenoeci,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina ohioensis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina prima,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina thomasi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina chagasi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina watsonae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina coccinellae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina forficulae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina hypophloei,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina clavata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina distinguenda,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina fontinalis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina limnophili,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),"Spelling?  Should it be limnephili?  Associations from Levine, and he  had Limnephilid hosts spelled incorrectly, too."
Gregarina wellmeri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina chilocori,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina craspedonoti,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina gonocephali,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina columnata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina isotomae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina tokonoi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina tubuliformis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina umbilicata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina compressa,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina concava,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina minor,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina consobrina,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina coptotomi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina longiducta,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina neglecta,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina udeopsyllae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina corbeli,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina dragescoi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina cousinea,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina curvata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina crassa,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina crawleyi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina geusi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina hoshidei,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina cubensis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina cucumiformis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina cylindrosa,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina davini,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina decourti,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina derispiae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina dimorpha,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina golvani,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina haranti,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina morioni,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina oviceps,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina polyaulia,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina soroniae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina typographi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina sericostomae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina thoracotermitis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina stigmae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina ulomae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina erotylidarum,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina fallax,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina grisea,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina joliveti,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina longa,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina minuta,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina omalina,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina ovata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina ormierei,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina diestrammenae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina echinata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina epilachnae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina gonimusi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina grandicephala,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina inago,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina inclinata,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina kokunusuto,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina korogi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina monoducta,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina platycephala,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina plesiophthalmi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina rhomborrhinae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina nalae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina nematiforma,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina noncylindrica,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina ophoni,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina ovoidea,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina paranensis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina parcoblattae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina passali,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina peruviana,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina phaleriae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina phyllotretae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina platydema,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina platyni,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina plegaderi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina poeciloceri,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina polaris,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Bacillus moritai,Bacteria,Spore-forming bacteria,Bacillaceae,
Bacillus alvei,Bacteria,Spore-forming bacteria,Bacillaceae,
Bacillus brevis,Bacteria,Spore-forming bacteria,Bacillaceae,
Bacillus pulvifaciens,Bacteria,Spore-forming bacteria,Bacillaceae,
Bacillus megaterium,Bacteria,Spore-forming bacteria,Bacillaceae,
Bacillus firmus,Bacteria,Spore-forming bacteria,Bacillaceae,
Clostridium brevifaciens,Bacteria,Spore-forming bacteria,Bacillaceae,
Clostridium malacosomae,Bacteria,Spore-forming bacteria,Bacillaceae,
Serratia liquefaciens,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Enterobacter aerogenes,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Corynebacterium okanaganae,Bacteria,Actinomycetes,,
Rickettsiella melolonthae,Bacteria,Rickettsiales,Chlamydiaceae,
Spiroplasma melliferum,Mollicutes,Spiroplasma,Spiroplasmataceae,
Spiroplasma apis,Mollicutes,Spiroplasma,Spiroplasmataceae,
Coelomomyces africanus,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces anophelesicus,Fungi,Chytridiomycetes,Blastocladiales,"Spelling: anophelesica or anophelesicus (as in Couch and Bland, ref 2039)?"
Coelomomyces ascariformis,Fungi,Chytridiomycetes,Blastocladiales,Regarded as a “nomen confusum” by Couch and Bland (ref 2039)
Coelomomyces bisymmetricus,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces cairnsensis,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces cribrosus,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces finlayae,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces grassei,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces indiana,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces keilini,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces lativittatus,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces pentangulatus,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces quadrangulatus,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces sculptosporus,Fungi,Chytridiomycetes,Blastocladiales,
Coelomomyces solomonis,Fungi,Chytridiomycetes,Blastocladiales,
